target_gene,guide_id,accession,locus,ORF_ID,Best_Hit_ARO,ARO,Drug Class,Resistance Mechanism,AMR Gene Family,Model_type,Cut_Off,Best_Identities,Percentage Length of Reference Sequence
blaNDM1,blaNDM1_riskaware_top4,GCF_000764615.1,NZ_CP008933.1:65123-65935:+,blaNDM1|blaNDM1_riskaware_top4|GCF_000764615.1|NZ_CP008933.1:65123-65935:+|gene=nan|product=subclass_B1_metallo-beta-lactamase_NDM-1|record=130_1 # 1 # 813 # 1 # ID=130_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.615,NDM-1,3000589,carbapenem; cephalosporin; penicillin beta-lactam,antibiotic inactivation,NDM beta-lactamase,protein homolog model,Perfect,100.0,100.0
blaNDM1,blaNDM1_riskaware_top4,GCF_000814145.2,NZ_CP010373.2:183987-184799:-,blaNDM1|blaNDM1_riskaware_top4|GCF_000814145.2|NZ_CP010373.2:183987-184799:-|gene=nan|product=subclass_B1_metallo-beta-lactamase_NDM-1|record=132_1 # 1 # 813 # 1 # ID=132_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.615,NDM-1,3000589,carbapenem; cephalosporin; penicillin beta-lactam,antibiotic inactivation,NDM beta-lactamase,protein homolog model,Perfect,100.0,100.0
blaNDM1,blaNDM1_riskaware_top4,GCF_000814145.2,NZ_CP010373.2:192999-193811:-,blaNDM1|blaNDM1_riskaware_top4|GCF_000814145.2|NZ_CP010373.2:192999-193811:-|gene=nan|product=subclass_B1_metallo-beta-lactamase_NDM-1|record=133_1 # 1 # 813 # 1 # ID=133_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.615,NDM-1,3000589,carbapenem; cephalosporin; penicillin beta-lactam,antibiotic inactivation,NDM beta-lactamase,protein homolog model,Perfect,100.0,100.0
mcr1,mcr1_riskaware_top4,GCF_000364385.3,NZ_CP006659.2:78377-79075:-,mcr1|mcr1_riskaware_top4|GCF_000364385.3|NZ_CP006659.2:78377-79075:-|gene=cpxR|product=envelope_stress_response_regulator_transcription_factor_CpxR|record=168_1 # 1 # 699 # 1 # ID=168_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.567,Pseudomonas aeruginosa CpxR,3004054,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,protein homolog model,Loose,48.68,103.11
mcr1,mcr1_riskaware_top4,GCF_000364385.3,NZ_CP006659.2:370805-372325:-,mcr1|mcr1_riskaware_top4|GCF_000364385.3|NZ_CP006659.2:370805-372325:-|gene=nan|product=sugar_ABC_transporter_ATP-binding_protein|record=169_1 # 1 # 1521 # 1 # ID=169_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.636,macB,3000535,macrolide antibiotic,antibiotic efflux,ATP-binding cassette (ABC) antibiotic efflux pump,protein homolog model,Loose,32.38,78.57
mcr1,mcr1_riskaware_top4,GCF_000364385.3,NZ_CP006659.2:1388391-1389188:-,mcr1|mcr1_riskaware_top4|GCF_000364385.3|NZ_CP006659.2:1388391-1389188:-|gene=nan|product=ABC_transporter_ATP-binding_protein|record=171_1 # 1 # 798 # 1 # ID=171_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.653,bcrA,3002987,peptide antibiotic,antibiotic efflux,ATP-binding cassette (ABC) antibiotic efflux pump,protein homolog model,Loose,28.5,86.6
mcr1,mcr1_riskaware_top4,GCF_000364385.3,NZ_CP006659.2:2429296-2430309:+,mcr1|mcr1_riskaware_top4|GCF_000364385.3|NZ_CP006659.2:2429296-2430309:+|gene=nan|product=methionine_ABC_transporter_ATP-binding_protein|record=173_1 # 1 # 1014 # 1 # ID=173_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.548,macB,3000535,macrolide antibiotic,antibiotic efflux,ATP-binding cassette (ABC) antibiotic efflux pump,protein homolog model,Loose,30.84,52.33
mcr1,mcr1_riskaware_top4,GCF_000364385.3,NZ_CP006659.2:3627042-3628457:+,mcr1|mcr1_riskaware_top4|GCF_000364385.3|NZ_CP006659.2:3627042-3628457:+|gene=nan|product=MFS_transporter|record=176_1 # 1 # 1416 # 1 # ID=176_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.600,emrB,3000074,fluoroquinolone antibiotic,antibiotic efflux,major facilitator superfamily (MFS) antibiotic efflux pump,protein homolog model,Loose,28.68,91.99
mcr1,mcr1_riskaware_top4,GCF_000364385.3,NZ_CP006659.2:4269332-4271404:+,mcr1|mcr1_riskaware_top4|GCF_000364385.3|NZ_CP006659.2:4269332-4271404:+|gene=flhA|product=formate_hydrogenlyase_transcriptional_activator_FlhA|record=179_1 # 1 # 2073 # 1 # ID=179_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.609,TxR,3005008,tetracycline antibiotic,antibiotic efflux,ATP-binding cassette (ABC) antibiotic efflux pump,protein homolog model,Loose,39.14,216.98
mcr1,mcr1_riskaware_top4,GCF_000739495.1,NZ_CP009114.1:610849-611862:+,mcr1|mcr1_riskaware_top4|GCF_000739495.1|NZ_CP009114.1:610849-611862:+|gene=nan|product=methionine_ABC_transporter_ATP-binding_protein|record=221_1 # 1 # 1014 # 1 # ID=221_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.548,macB,3000535,macrolide antibiotic,antibiotic efflux,ATP-binding cassette (ABC) antibiotic efflux pump,protein homolog model,Loose,30.84,52.33
mcr1,mcr1_riskaware_top4,GCF_000739495.1,NZ_CP009114.1:1773420-1774658:+,mcr1|mcr1_riskaware_top4|GCF_000739495.1|NZ_CP009114.1:1773420-1774658:+|gene=nan|product=MdtA/MuxA_family_multidrug_efflux_RND_transporter_periplasmic_adaptor_subunit|record=224_1 # 1 # 1239 # 1 # ID=224_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.655,mdtA,3000792,aminocoumarin antibiotic,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,protein homolog model,Loose,78.55,99.28
mcr1,mcr1_riskaware_top4,GCF_000739495.1,NZ_CP009114.1:2341388-2343460:+,mcr1|mcr1_riskaware_top4|GCF_000739495.1|NZ_CP009114.1:2341388-2343460:+|gene=flhA|product=formate_hydrogenlyase_transcriptional_activator_FlhA|record=227_1 # 1 # 2073 # 1 # ID=227_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.609,TxR,3005008,tetracycline antibiotic,antibiotic efflux,ATP-binding cassette (ABC) antibiotic efflux pump,protein homolog model,Loose,39.14,216.98
mcr1,mcr1_riskaware_top4,GCF_000739495.1,NZ_CP009114.1:3586952-3587650:-,mcr1|mcr1_riskaware_top4|GCF_000739495.1|NZ_CP009114.1:3586952-3587650:-|gene=cpxR|product=envelope_stress_response_regulator_transcription_factor_CpxR|record=228_1 # 1 # 699 # 1 # ID=228_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.565,Pseudomonas aeruginosa CpxR,3004054,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,protein homolog model,Loose,48.68,103.11
mcr1,mcr1_riskaware_top4,GCF_000739495.1,NZ_CP009114.1:3873493-3875013:-,mcr1|mcr1_riskaware_top4|GCF_000739495.1|NZ_CP009114.1:3873493-3875013:-|gene=nan|product=sugar_ABC_transporter_ATP-binding_protein|record=229_1 # 1 # 1521 # 1 # ID=229_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.635,macB,3000535,macrolide antibiotic,antibiotic efflux,ATP-binding cassette (ABC) antibiotic efflux pump,protein homolog model,Loose,32.38,78.57
mcr1,mcr1_riskaware_top4,GCF_000739495.1,NZ_CP009114.1:4869481-4870278:-,mcr1|mcr1_riskaware_top4|GCF_000739495.1|NZ_CP009114.1:4869481-4870278:-|gene=nan|product=ABC_transporter_ATP-binding_protein|record=231_1 # 1 # 798 # 1 # ID=231_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.653,bcrA,3002987,peptide antibiotic,antibiotic efflux,ATP-binding cassette (ABC) antibiotic efflux pump,protein homolog model,Loose,28.5,86.6
mcr1,mcr1_riskaware_top4,GCF_000764615.1,NZ_CP008929.1:24150-25388:+,mcr1|mcr1_riskaware_top4|GCF_000764615.1|NZ_CP008929.1:24150-25388:+|gene=nan|product=MdtA/MuxA_family_multidrug_efflux_RND_transporter_periplasmic_adaptor_subunit|record=233_1 # 1 # 1239 # 1 # ID=233_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.658,mdtA,3000792,aminocoumarin antibiotic,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,protein homolog model,Loose,78.31,99.28
mcr1,mcr1_riskaware_top4,GCF_000764615.1,NZ_CP008929.1:598619-600691:+,mcr1|mcr1_riskaware_top4|GCF_000764615.1|NZ_CP008929.1:598619-600691:+|gene=flhA|product=formate_hydrogenlyase_transcriptional_activator_FlhA|record=238_1 # 1 # 2073 # 1 # ID=238_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.611,TxR,3005008,tetracycline antibiotic,antibiotic efflux,ATP-binding cassette (ABC) antibiotic efflux pump,protein homolog model,Loose,38.82,216.98
mcr1,mcr1_riskaware_top4,GCF_000764615.1,NZ_CP008929.1:1830439-1831137:-,mcr1|mcr1_riskaware_top4|GCF_000764615.1|NZ_CP008929.1:1830439-1831137:-|gene=cpxR|product=envelope_stress_response_regulator_transcription_factor_CpxR|record=239_1 # 1 # 699 # 1 # ID=239_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.567,Pseudomonas aeruginosa CpxR,3004054,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,protein homolog model,Loose,48.68,103.11
mcr1,mcr1_riskaware_top4,GCF_000764615.1,NZ_CP008929.1:2117143-2118663:-,mcr1|mcr1_riskaware_top4|GCF_000764615.1|NZ_CP008929.1:2117143-2118663:-|gene=nan|product=sugar_ABC_transporter_ATP-binding_protein|record=240_1 # 1 # 1521 # 1 # ID=240_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.634,macB,3000535,macrolide antibiotic,antibiotic efflux,ATP-binding cassette (ABC) antibiotic efflux pump,protein homolog model,Loose,32.38,78.57
mcr1,mcr1_riskaware_top4,GCF_000764615.1,NZ_CP008929.1:3084222-3085019:-,mcr1|mcr1_riskaware_top4|GCF_000764615.1|NZ_CP008929.1:3084222-3085019:-|gene=nan|product=ABC_transporter_ATP-binding_protein|record=242_1 # 1 # 798 # 1 # ID=242_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.653,tetA(46),3004032,tetracycline antibiotic,antibiotic efflux,ATP-binding cassette (ABC) antibiotic efflux pump,protein homolog model,Loose,27.87,46.17
mcr1,mcr1_riskaware_top4,GCF_000764615.1,NZ_CP008929.1:4062069-4063082:+,mcr1|mcr1_riskaware_top4|GCF_000764615.1|NZ_CP008929.1:4062069-4063082:+|gene=nan|product=methionine_ABC_transporter_ATP-binding_protein|record=245_1 # 1 # 1014 # 1 # ID=245_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.554,macB,3000535,macrolide antibiotic,antibiotic efflux,ATP-binding cassette (ABC) antibiotic efflux pump,protein homolog model,Loose,30.84,52.33
mcr1,mcr1_riskaware_top4,GCF_000775955.1,NZ_CP009461.1:831066-833138:-,mcr1|mcr1_riskaware_top4|GCF_000775955.1|NZ_CP009461.1:831066-833138:-|gene=flhA|product=formate_hydrogenlyase_transcriptional_activator_FlhA|record=248_1 # 1 # 2073 # 1 # ID=248_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.608,TxR,3005008,tetracycline antibiotic,antibiotic efflux,ATP-binding cassette (ABC) antibiotic efflux pump,protein homolog model,Loose,39.14,216.98
mcr1,mcr1_riskaware_top4,GCF_000775955.1,NZ_CP009461.1:1431529-1432767:-,mcr1|mcr1_riskaware_top4|GCF_000775955.1|NZ_CP009461.1:1431529-1432767:-|gene=nan|product=MdtA/MuxA_family_multidrug_efflux_RND_transporter_periplasmic_adaptor_subunit|record=251_1 # 1 # 1239 # 1 # ID=251_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.655,mdtA,3000792,aminocoumarin antibiotic,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,protein homolog model,Loose,78.55,99.28
mcr1,mcr1_riskaware_top4,GCF_000775955.1,NZ_CP009461.1:2575836-2576849:-,mcr1|mcr1_riskaware_top4|GCF_000775955.1|NZ_CP009461.1:2575836-2576849:-|gene=nan|product=methionine_ABC_transporter_ATP-binding_protein|record=254_1 # 1 # 1014 # 1 # ID=254_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.548,macB,3000535,macrolide antibiotic,antibiotic efflux,ATP-binding cassette (ABC) antibiotic efflux pump,protein homolog model,Loose,30.84,52.33
mcr1,mcr1_riskaware_top4,GCF_000775955.1,NZ_CP009461.1:3529403-3530200:+,mcr1|mcr1_riskaware_top4|GCF_000775955.1|NZ_CP009461.1:3529403-3530200:+|gene=nan|product=ABC_transporter_ATP-binding_protein|record=256_1 # 1 # 798 # 1 # ID=256_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.653,bcrA,3002987,peptide antibiotic,antibiotic efflux,ATP-binding cassette (ABC) antibiotic efflux pump,protein homolog model,Loose,28.5,86.6
mcr1,mcr1_riskaware_top4,GCF_000775955.1,NZ_CP009461.1:4786292-4786990:+,mcr1|mcr1_riskaware_top4|GCF_000775955.1|NZ_CP009461.1:4786292-4786990:+|gene=cpxR|product=envelope_stress_response_regulator_transcription_factor_CpxR|record=257_1 # 1 # 699 # 1 # ID=257_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.565,Pseudomonas aeruginosa CpxR,3004054,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,protein homolog model,Loose,48.68,103.11
mcr1,mcr1_riskaware_top4,GCF_000807395.2,NZ_CP010361.1:1127824-1129896:-,mcr1|mcr1_riskaware_top4|GCF_000807395.2|NZ_CP010361.1:1127824-1129896:-|gene=flhA|product=formate_hydrogenlyase_transcriptional_activator_FlhA|record=281_1 # 1 # 2073 # 1 # ID=281_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.608,TxR,3005008,tetracycline antibiotic,antibiotic efflux,ATP-binding cassette (ABC) antibiotic efflux pump,protein homolog model,Loose,38.82,216.98
mcr1,mcr1_riskaware_top4,GCF_000807395.2,NZ_CP010361.1:1697522-1698760:-,mcr1|mcr1_riskaware_top4|GCF_000807395.2|NZ_CP010361.1:1697522-1698760:-|gene=nan|product=MdtA/MuxA_family_multidrug_efflux_RND_transporter_periplasmic_adaptor_subunit|record=284_1 # 1 # 1239 # 1 # ID=284_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.653,mdtA,3000792,aminocoumarin antibiotic,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,protein homolog model,Loose,78.55,99.28
mcr1,mcr1_riskaware_top4,GCF_000807395.2,NZ_CP010361.1:3919098-3919895:+,mcr1|mcr1_riskaware_top4|GCF_000807395.2|NZ_CP010361.1:3919098-3919895:+|gene=nan|product=ABC_transporter_ATP-binding_protein|record=288_1 # 1 # 798 # 1 # ID=288_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.653,bcrA,3002987,peptide antibiotic,antibiotic efflux,ATP-binding cassette (ABC) antibiotic efflux pump,protein homolog model,Loose,28.5,86.6
mcr1,mcr1_riskaware_top4,GCF_000807395.2,NZ_CP010361.1:4927937-4929457:+,mcr1|mcr1_riskaware_top4|GCF_000807395.2|NZ_CP010361.1:4927937-4929457:+|gene=nan|product=sugar_ABC_transporter_ATP-binding_protein|record=290_1 # 1 # 1521 # 1 # ID=290_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.636,macB,3000535,macrolide antibiotic,antibiotic efflux,ATP-binding cassette (ABC) antibiotic efflux pump,protein homolog model,Loose,32.38,78.57
mcr1,mcr1_riskaware_top4,GCF_000807395.2,NZ_CP010361.1:5231033-5231731:+,mcr1|mcr1_riskaware_top4|GCF_000807395.2|NZ_CP010361.1:5231033-5231731:+|gene=cpxR|product=envelope_stress_response_regulator_transcription_factor_CpxR|record=291_1 # 1 # 699 # 1 # ID=291_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.567,Pseudomonas aeruginosa CpxR,3004054,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,protein homolog model,Loose,48.68,103.11
mcr1,mcr1_riskaware_top4,GCF_000814305.1,NZ_CP010392.1:1127789-1129861:-,mcr1|mcr1_riskaware_top4|GCF_000814305.1|NZ_CP010392.1:1127789-1129861:-|gene=flhA|product=formate_hydrogenlyase_transcriptional_activator_FlhA|record=301_1 # 1 # 2073 # 1 # ID=301_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.608,TxR,3005008,tetracycline antibiotic,antibiotic efflux,ATP-binding cassette (ABC) antibiotic efflux pump,protein homolog model,Loose,39.14,216.98
mcr1,mcr1_riskaware_top4,GCF_000814305.1,NZ_CP010392.1:1696307-1697545:-,mcr1|mcr1_riskaware_top4|GCF_000814305.1|NZ_CP010392.1:1696307-1697545:-|gene=nan|product=MdtA/MuxA_family_multidrug_efflux_RND_transporter_periplasmic_adaptor_subunit|record=304_1 # 1 # 1239 # 1 # ID=304_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.654,mdtA,3000792,aminocoumarin antibiotic,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,protein homolog model,Loose,78.55,99.28
mcr1,mcr1_riskaware_top4,GCF_000814305.1,NZ_CP010392.1:2881778-2882791:-,mcr1|mcr1_riskaware_top4|GCF_000814305.1|NZ_CP010392.1:2881778-2882791:-|gene=nan|product=methionine_ABC_transporter_ATP-binding_protein|record=307_1 # 1 # 1014 # 1 # ID=307_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.548,macB,3000535,macrolide antibiotic,antibiotic efflux,ATP-binding cassette (ABC) antibiotic efflux pump,protein homolog model,Loose,30.84,52.33
mcr1,mcr1_riskaware_top4,GCF_000814305.1,NZ_CP010392.1:3897959-3898756:+,mcr1|mcr1_riskaware_top4|GCF_000814305.1|NZ_CP010392.1:3897959-3898756:+|gene=nan|product=ABC_transporter_ATP-binding_protein|record=309_1 # 1 # 798 # 1 # ID=309_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.653,bcrA,3002987,peptide antibiotic,antibiotic efflux,ATP-binding cassette (ABC) antibiotic efflux pump,protein homolog model,Loose,28.5,86.6
mcr1,mcr1_riskaware_top4,GCF_000814305.1,NZ_CP010392.1:4906751-4908271:+,mcr1|mcr1_riskaware_top4|GCF_000814305.1|NZ_CP010392.1:4906751-4908271:+|gene=nan|product=sugar_ABC_transporter_ATP-binding_protein|record=311_1 # 1 # 1521 # 1 # ID=311_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.636,macB,3000535,macrolide antibiotic,antibiotic efflux,ATP-binding cassette (ABC) antibiotic efflux pump,protein homolog model,Loose,32.38,78.57
mcr1,mcr1_riskaware_top4,GCF_000814305.1,NZ_CP010392.1:5200177-5200875:+,mcr1|mcr1_riskaware_top4|GCF_000814305.1|NZ_CP010392.1:5200177-5200875:+|gene=cpxR|product=envelope_stress_response_regulator_transcription_factor_CpxR|record=312_1 # 1 # 699 # 1 # ID=312_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.567,Pseudomonas aeruginosa CpxR,3004054,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,protein homolog model,Loose,48.68,103.11
