rgi_input_record_id,target_gene,guide_id,accession,local_genome_file,seqid,start,end,strand,sequence_length,overlap_gene,overlap_product,db_amr_confirmed,db_refined_functional_class
blaKPC|blaKPC_riskaware_top2|GCF_000364385.3|NZ_CP006659.2:4434675-4435226:-|gene=nan|product=prepilin_peptidase-dependent_protein|record=12,blaKPC,blaKPC_riskaware_top2,GCF_000364385.3,data_cas_offinder/expanded_panel/genomes/GCF_000364385.3_genomic.fna,NZ_CP006659.2,4434675,4435226,-,552,,prepilin peptidase-dependent protein,False,DB_refined_virulence_related
blaKPC|blaKPC_riskaware_top2|GCF_000597845.1|NZ_CP007265.1:945403-946854:-|gene=prpD|product=2-methylcitrate_dehydratase|record=13,blaKPC,blaKPC_riskaware_top2,GCF_000597845.1,data_cas_offinder/expanded_panel/genomes/GCF_000597845.1_genomic.fna,NZ_CP007265.1,945403,946854,-,1452,prpD,2-methylcitrate dehydratase,False,DB_refined_mobile_or_plasmid_related
blaKPC|blaKPC_riskaware_top2|GCF_000599625.1|NZ_CP007390.1:3519213-3520664:-|gene=prpD|product=2-methylcitrate_dehydratase|record=14,blaKPC,blaKPC_riskaware_top2,GCF_000599625.1,data_cas_offinder/expanded_panel/genomes/GCF_000599625.1_genomic.fna,NZ_CP007390.1,3519213,3520664,-,1452,prpD,2-methylcitrate dehydratase,False,DB_refined_mobile_or_plasmid_related
blaKPC|blaKPC_riskaware_top2|GCF_000599645.1|NZ_CP007391.1:3618334-3619785:-|gene=prpD|product=2-methylcitrate_dehydratase|record=15,blaKPC,blaKPC_riskaware_top2,GCF_000599645.1,data_cas_offinder/expanded_panel/genomes/GCF_000599645.1_genomic.fna,NZ_CP007391.1,3618334,3619785,-,1452,prpD,2-methylcitrate dehydratase,False,DB_refined_mobile_or_plasmid_related
blaKPC|blaKPC_riskaware_top2|GCF_000599665.1|NZ_CP007392.1:755494-757386:+|gene=aceF|product=pyruvate_dehydrogenase_complex_dihydrolipoyllysine-residue_acetyltransferase|record=16,blaKPC,blaKPC_riskaware_top2,GCF_000599665.1,data_cas_offinder/expanded_panel/genomes/GCF_000599665.1_genomic.fna,NZ_CP007392.1,755494,757386,+,1893,aceF,pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase,False,DB_refined_mobile_or_plasmid_related
blaKPC|blaKPC_riskaware_top2|GCF_000599665.1|NZ_CP007392.1:4613834-4615903:-|gene=glyS|product=glycine--tRNA_ligase_subunit_beta|record=17,blaKPC,blaKPC_riskaware_top2,GCF_000599665.1,data_cas_offinder/expanded_panel/genomes/GCF_000599665.1_genomic.fna,NZ_CP007392.1,4613834,4615903,-,2070,glyS,glycine--tRNA ligase subunit beta,False,DB_refined_essential_like
blaKPC|blaKPC_riskaware_top2|GCF_000599685.1|NZ_CP007393.1:763035-764927:+|gene=aceF|product=pyruvate_dehydrogenase_complex_dihydrolipoyllysine-residue_acetyltransferase|record=18,blaKPC,blaKPC_riskaware_top2,GCF_000599685.1,data_cas_offinder/expanded_panel/genomes/GCF_000599685.1_genomic.fna,NZ_CP007393.1,763035,764927,+,1893,aceF,pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase,False,DB_refined_mobile_or_plasmid_related
blaKPC|blaKPC_riskaware_top2|GCF_000599685.1|NZ_CP007393.1:4606666-4608735:-|gene=glyS|product=glycine--tRNA_ligase_subunit_beta|record=19,blaKPC,blaKPC_riskaware_top2,GCF_000599685.1,data_cas_offinder/expanded_panel/genomes/GCF_000599685.1_genomic.fna,NZ_CP007393.1,4606666,4608735,-,2070,glyS,glycine--tRNA ligase subunit beta,False,DB_refined_essential_like
blaKPC|blaKPC_riskaware_top2|GCF_000599705.1|NZ_CP007394.1:762620-764512:+|gene=aceF|product=pyruvate_dehydrogenase_complex_dihydrolipoyllysine-residue_acetyltransferase|record=20,blaKPC,blaKPC_riskaware_top2,GCF_000599705.1,data_cas_offinder/expanded_panel/genomes/GCF_000599705.1_genomic.fna,NZ_CP007394.1,762620,764512,+,1893,aceF,pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase,False,DB_refined_mobile_or_plasmid_related
blaKPC|blaKPC_riskaware_top2|GCF_000599705.1|NZ_CP007394.1:4550681-4552750:-|gene=glyS|product=glycine--tRNA_ligase_subunit_beta|record=21,blaKPC,blaKPC_riskaware_top2,GCF_000599705.1,data_cas_offinder/expanded_panel/genomes/GCF_000599705.1_genomic.fna,NZ_CP007394.1,4550681,4552750,-,2070,glyS,glycine--tRNA ligase subunit beta,False,DB_refined_essential_like
blaKPC|blaKPC_riskaware_top2|GCF_000739495.1|NZ_CP009114.1:2506733-2507284:-|gene=nan|product=prepilin_peptidase-dependent_protein|record=22,blaKPC,blaKPC_riskaware_top2,GCF_000739495.1,data_cas_offinder/expanded_panel/genomes/GCF_000739495.1_genomic.fna,NZ_CP009114.1,2506733,2507284,-,552,,prepilin peptidase-dependent protein,False,DB_refined_virulence_related
blaKPC|blaKPC_riskaware_top2|GCF_000739495.1|NZ_CP009114.1:3406516-3407679:+|gene=nan|product=multidrug_effflux_MFS_transporter|record=23,blaKPC,blaKPC_riskaware_top2,GCF_000739495.1,data_cas_offinder/expanded_panel/genomes/GCF_000739495.1_genomic.fna,NZ_CP009114.1,3406516,3407679,+,1164,,multidrug effflux MFS transporter,True,DB_refined_AMR_or_resistance_related
blaKPC|blaKPC_riskaware_top2|GCF_000739495.1|NZ_CP009114.1:4289032-4289718:+|gene=nan|product=tRNA/rRNA_methyltransferase|record=24,blaKPC,blaKPC_riskaware_top2,GCF_000739495.1,data_cas_offinder/expanded_panel/genomes/GCF_000739495.1_genomic.fna,NZ_CP009114.1,4289032,4289718,+,687,,tRNA/rRNA methyltransferase,False,DB_refined_mobile_or_plasmid_related
blaKPC|blaKPC_riskaware_top2|GCF_000764615.1|NZ_CP008929.1:786048-786599:-|gene=nan|product=prepilin_peptidase-dependent_protein|record=25,blaKPC,blaKPC_riskaware_top2,GCF_000764615.1,data_cas_offinder/expanded_panel/genomes/GCF_000764615.1_genomic.fna,NZ_CP008929.1,786048,786599,-,552,,prepilin peptidase-dependent protein,False,DB_refined_virulence_related
blaKPC|blaKPC_riskaware_top2|GCF_000764615.1|NZ_CP008929.1:2497140-2497826:+|gene=nan|product=tRNA/rRNA_methyltransferase|record=26,blaKPC,blaKPC_riskaware_top2,GCF_000764615.1,data_cas_offinder/expanded_panel/genomes/GCF_000764615.1_genomic.fna,NZ_CP008929.1,2497140,2497826,+,687,,tRNA/rRNA methyltransferase,False,DB_refined_mobile_or_plasmid_related
blaKPC|blaKPC_riskaware_top2|GCF_000775955.1|NZ_CP009461.1:667255-667806:+|gene=nan|product=prepilin_peptidase-dependent_protein|record=27,blaKPC,blaKPC_riskaware_top2,GCF_000775955.1,data_cas_offinder/expanded_panel/genomes/GCF_000775955.1_genomic.fna,NZ_CP009461.1,667255,667806,+,552,,prepilin peptidase-dependent protein,False,DB_refined_virulence_related
blaKPC|blaKPC_riskaware_top2|GCF_000775955.1|NZ_CP009461.1:4110658-4111344:-|gene=nan|product=tRNA/rRNA_methyltransferase|record=28,blaKPC,blaKPC_riskaware_top2,GCF_000775955.1,data_cas_offinder/expanded_panel/genomes/GCF_000775955.1_genomic.fna,NZ_CP009461.1,4110658,4111344,-,687,,tRNA/rRNA methyltransferase,False,DB_refined_mobile_or_plasmid_related
blaKPC|blaKPC_riskaware_top2|GCF_000775955.1|NZ_CP009461.1:4961162-4962325:-|gene=nan|product=multidrug_effflux_MFS_transporter|record=29,blaKPC,blaKPC_riskaware_top2,GCF_000775955.1,data_cas_offinder/expanded_panel/genomes/GCF_000775955.1_genomic.fna,NZ_CP009461.1,4961162,4962325,-,1164,,multidrug effflux MFS transporter,True,DB_refined_AMR_or_resistance_related
blaKPC|blaKPC_riskaware_top2|GCF_000801185.2|NZ_CP009106.2:1122430-1123881:+|gene=prpD|product=2-methylcitrate_dehydratase|record=30,blaKPC,blaKPC_riskaware_top2,GCF_000801185.2,data_cas_offinder/expanded_panel/genomes/GCF_000801185.2_genomic.fna,NZ_CP009106.2,1122430,1123881,+,1452,prpD,2-methylcitrate dehydratase,False,DB_refined_mobile_or_plasmid_related
blaKPC|blaKPC_riskaware_top2|GCF_000807395.2|NZ_CP010361.1:964004-964555:+|gene=nan|product=prepilin_peptidase-dependent_protein|record=31,blaKPC,blaKPC_riskaware_top2,GCF_000807395.2,data_cas_offinder/expanded_panel/genomes/GCF_000807395.2_genomic.fna,NZ_CP010361.1,964004,964555,+,552,,prepilin peptidase-dependent protein,False,DB_refined_virulence_related
blaKPC|blaKPC_riskaware_top2|GCF_000807395.2|NZ_CP010361.1:4548104-4548790:-|gene=nan|product=tRNA/rRNA_methyltransferase|record=32,blaKPC,blaKPC_riskaware_top2,GCF_000807395.2,data_cas_offinder/expanded_panel/genomes/GCF_000807395.2_genomic.fna,NZ_CP010361.1,4548104,4548790,-,687,,tRNA/rRNA methyltransferase,False,DB_refined_mobile_or_plasmid_related
blaKPC|blaKPC_riskaware_top2|GCF_000814145.2|NZ_CP010371.1:129964-131856:+|gene=aceF|product=pyruvate_dehydrogenase_complex_dihydrolipoyllysine-residue_acetyltransferase|record=33,blaKPC,blaKPC_riskaware_top2,GCF_000814145.2,data_cas_offinder/expanded_panel/genomes/GCF_000814145.2_genomic.fna,NZ_CP010371.1,129964,131856,+,1893,aceF,pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase,False,DB_refined_mobile_or_plasmid_related
blaKPC|blaKPC_riskaware_top2|GCF_000814145.2|NZ_CP010371.1:418878-420329:+|gene=prpD|product=2-methylcitrate_dehydratase|record=34,blaKPC,blaKPC_riskaware_top2,GCF_000814145.2,data_cas_offinder/expanded_panel/genomes/GCF_000814145.2_genomic.fna,NZ_CP010371.1,418878,420329,+,1452,prpD,2-methylcitrate dehydratase,False,DB_refined_mobile_or_plasmid_related
blaKPC|blaKPC_riskaware_top2|GCF_000814305.1|NZ_CP010392.1:963965-964516:+|gene=nan|product=prepilin_peptidase-dependent_protein|record=35,blaKPC,blaKPC_riskaware_top2,GCF_000814305.1,data_cas_offinder/expanded_panel/genomes/GCF_000814305.1_genomic.fna,NZ_CP010392.1,963965,964516,+,552,,prepilin peptidase-dependent protein,False,DB_refined_virulence_related
blaKPC|blaKPC_riskaware_top2|GCF_000814305.1|NZ_CP010392.1:4527034-4527720:-|gene=nan|product=tRNA/rRNA_methyltransferase|record=36,blaKPC,blaKPC_riskaware_top2,GCF_000814305.1,data_cas_offinder/expanded_panel/genomes/GCF_000814305.1_genomic.fna,NZ_CP010392.1,4527034,4527720,-,687,,tRNA/rRNA methyltransferase,False,DB_refined_mobile_or_plasmid_related
blaKPC|blaKPC_riskaware_top2|GCF_000968155.1|NZ_FO834906.1:3058021-3058551:+|gene=nan|product=hypothetical_protein|record=37,blaKPC,blaKPC_riskaware_top2,GCF_000968155.1,data_cas_offinder/expanded_panel/genomes/GCF_000968155.1_genomic.fna,NZ_FO834906.1,3058021,3058551,+,531,,hypothetical protein,True,DB_refined_AMR_or_resistance_related
blaKPC|blaKPC_riskaware_top2|GCF_000968155.1|NZ_FO834905.1:14736-15752:+|gene=nan|product=IS110-like_element_ISKpn2_family_transposase|record=38,blaKPC,blaKPC_riskaware_top2,GCF_000968155.1,data_cas_offinder/expanded_panel/genomes/GCF_000968155.1_genomic.fna,NZ_FO834905.1,14736,15752,+,1017,,IS110-like element ISKpn2 family transposase,False,DB_refined_mobile_or_plasmid_related
blaKPC|blaKPC_riskaware_top2|GCF_000968155.1|NZ_FO834906.1:66779-67942:-|gene=nan|product=multidrug_effflux_MFS_transporter|record=39,blaKPC,blaKPC_riskaware_top2,GCF_000968155.1,data_cas_offinder/expanded_panel/genomes/GCF_000968155.1_genomic.fna,NZ_FO834906.1,66779,67942,-,1164,,multidrug effflux MFS transporter,True,DB_refined_AMR_or_resistance_related
blaKPC|blaKPC_riskaware_top2|GCF_000968155.1|NZ_FO834906.1:4619007-4619693:-|gene=nan|product=tRNA/rRNA_methyltransferase|record=40,blaKPC,blaKPC_riskaware_top2,GCF_000968155.1,data_cas_offinder/expanded_panel/genomes/GCF_000968155.1_genomic.fna,NZ_FO834906.1,4619007,4619693,-,687,,tRNA/rRNA methyltransferase,False,DB_refined_mobile_or_plasmid_related
blaKPC|blaKPC_riskaware_top2|GCF_001022035.1|NZ_CP011578.1:2483371-2483922:-|gene=nan|product=prepilin_peptidase-dependent_protein|record=41,blaKPC,blaKPC_riskaware_top2,GCF_001022035.1,data_cas_offinder/expanded_panel/genomes/GCF_001022035.1_genomic.fna,NZ_CP011578.1,2483371,2483922,-,552,,prepilin peptidase-dependent protein,False,DB_refined_virulence_related
blaKPC|blaKPC_riskaware_top2|GCF_001022035.1|NZ_CP011578.1:4230612-4231298:+|gene=nan|product=tRNA/rRNA_methyltransferase|record=42,blaKPC,blaKPC_riskaware_top2,GCF_001022035.1,data_cas_offinder/expanded_panel/genomes/GCF_001022035.1_genomic.fna,NZ_CP011578.1,4230612,4231298,+,687,,tRNA/rRNA methyltransferase,False,DB_refined_mobile_or_plasmid_related
blaKPC|blaKPC_riskaware_top2|GCF_001022175.1|NZ_CP011624.1:1443974-1444660:-|gene=nan|product=tRNA/rRNA_methyltransferase|record=43,blaKPC,blaKPC_riskaware_top2,GCF_001022175.1,data_cas_offinder/expanded_panel/genomes/GCF_001022175.1_genomic.fna,NZ_CP011624.1,1443974,1444660,-,687,,tRNA/rRNA methyltransferase,False,DB_refined_mobile_or_plasmid_related
blaKPC|blaKPC_riskaware_top2|GCF_001022175.1|NZ_CP011624.1:3146698-3147249:+|gene=nan|product=prepilin_peptidase-dependent_protein|record=44,blaKPC,blaKPC_riskaware_top2,GCF_001022175.1,data_cas_offinder/expanded_panel/genomes/GCF_001022175.1_genomic.fna,NZ_CP011624.1,3146698,3147249,+,552,,prepilin peptidase-dependent protein,False,DB_refined_virulence_related
blaKPC|blaKPC_riskaware_top2|GCF_001022235.1|NZ_CP011647.1:178190-178741:-|gene=nan|product=prepilin_peptidase-dependent_protein|record=45,blaKPC,blaKPC_riskaware_top2,GCF_001022235.1,data_cas_offinder/expanded_panel/genomes/GCF_001022235.1_genomic.fna,NZ_CP011647.1,178190,178741,-,552,,prepilin peptidase-dependent protein,False,DB_refined_virulence_related
blaKPC|blaKPC_riskaware_top2|GCF_001022235.1|NZ_CP011647.1:1930786-1931472:+|gene=nan|product=tRNA/rRNA_methyltransferase|record=46,blaKPC,blaKPC_riskaware_top2,GCF_001022235.1,data_cas_offinder/expanded_panel/genomes/GCF_001022235.1_genomic.fna,NZ_CP011647.1,1930786,1931472,+,687,,tRNA/rRNA methyltransferase,False,DB_refined_mobile_or_plasmid_related
blaKPC|blaKPC_riskaware_top3|GCF_000418345.1|NC_021670.1:1654644-1657613:-|gene=nan|product=phage_tail_protein|record=47,blaKPC,blaKPC_riskaware_top3,GCF_000418345.1,data_cas_offinder/expanded_panel/genomes/GCF_000418345.1_genomic.fna,NC_021670.1,1654644,1657613,-,2970,,phage tail protein,False,DB_refined_mobile_or_plasmid_related
blaKPC|blaKPC_riskaware_top3|GCF_000709475.1|NZ_CP007447.1:2025837-2028722:-|gene=nan|product=terminase|record=48,blaKPC,blaKPC_riskaware_top3,GCF_000709475.1,data_cas_offinder/expanded_panel/genomes/GCF_000709475.1_genomic.fna,NZ_CP007447.1,2025837,2028722,-,2886,,terminase,True,DB_refined_AMR_or_resistance_related
blaKPC|blaKPC_riskaware_top4|GCA_000013465.1|CP000255.1:2272681-2274219:+|gene=mtlF|product=PTS_system%2C_mannitol_specific_IIBC_component|record=49,blaKPC,blaKPC_riskaware_top4,GCA_000013465.1,data_cas_offinder/expanded_panel/genomes/GCA_000013465.1_genomic.fna,CP000255.1,2272681,2274219,+,1539,mtlF,PTS system%2C mannitol specific IIBC component,True,DB_refined_AMR_or_resistance_related
blaKPC|blaKPC_riskaware_top4|GCF_000364385.3|NZ_CP006659.2:4434675-4435226:-|gene=nan|product=prepilin_peptidase-dependent_protein|record=50,blaKPC,blaKPC_riskaware_top4,GCF_000364385.3,data_cas_offinder/expanded_panel/genomes/GCF_000364385.3_genomic.fna,NZ_CP006659.2,4434675,4435226,-,552,,prepilin peptidase-dependent protein,False,DB_refined_virulence_related
blaKPC|blaKPC_riskaware_top4|GCF_000364385.3|NZ_CP006659.2:5005112-5005939:-|gene=dam|product=adenine-specific_DNA-methyltransferase|record=51,blaKPC,blaKPC_riskaware_top4,GCF_000364385.3,data_cas_offinder/expanded_panel/genomes/GCF_000364385.3_genomic.fna,NZ_CP006659.2,5005112,5005939,-,828,dam,adenine-specific DNA-methyltransferase,False,DB_refined_mobile_or_plasmid_related
blaKPC|blaKPC_riskaware_top4|GCF_000364385.3|NZ_CP006659.2:85544-86512:-|gene=ftsN|product=cell_division_protein_FtsN|record=52,blaKPC,blaKPC_riskaware_top4,GCF_000364385.3,data_cas_offinder/expanded_panel/genomes/GCF_000364385.3_genomic.fna,NZ_CP006659.2,85544,86512,-,969,ftsN,cell division protein FtsN,False,DB_refined_essential_like
blaKPC|blaKPC_riskaware_top4|GCF_000364385.3|NZ_CP006659.2:736008-736796:-|gene=fhuF|product=siderophore-iron_reductase_FhuF|record=53,blaKPC,blaKPC_riskaware_top4,GCF_000364385.3,data_cas_offinder/expanded_panel/genomes/GCF_000364385.3_genomic.fna,NZ_CP006659.2,736008,736796,-,789,fhuF,siderophore-iron reductase FhuF,False,DB_refined_virulence_related
blaKPC|blaKPC_riskaware_top4|GCF_000364385.3|NZ_CP006659.2:5257919-5259193:+|gene=waaA|product=lipid_IV(A)_3-deoxy-D-manno-octulosonic_acid_transferase|record=54,blaKPC,blaKPC_riskaware_top4,GCF_000364385.3,data_cas_offinder/expanded_panel/genomes/GCF_000364385.3_genomic.fna,NZ_CP006659.2,5257919,5259193,+,1275,waaA,lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase,False,DB_refined_mobile_or_plasmid_related
blaKPC|blaKPC_riskaware_top4|GCF_000418345.1|NC_021670.1:2360017-2361555:+|gene=nan|product=PTS_mannitol_transporter_subunit_IICB|record=55,blaKPC,blaKPC_riskaware_top4,GCF_000418345.1,data_cas_offinder/expanded_panel/genomes/GCF_000418345.1_genomic.fna,NC_021670.1,2360017,2361555,+,1539,,PTS mannitol transporter subunit IICB,False,DB_refined_mobile_or_plasmid_related
blaKPC|blaKPC_riskaware_top4|GCF_000597845.1|NZ_CP007265.1:949533-951119:+|gene=prpR|product=propionate_catabolism_operon_regulatory_protein_PrpR|record=56,blaKPC,blaKPC_riskaware_top4,GCF_000597845.1,data_cas_offinder/expanded_panel/genomes/GCF_000597845.1_genomic.fna,NZ_CP007265.1,949533,951119,+,1587,prpR,propionate catabolism operon regulatory protein PrpR,True,DB_refined_AMR_or_resistance_related
blaKPC|blaKPC_riskaware_top4|GCF_000597965.1|NZ_CP007454.1:1708813-1710351:-|gene=nan|product=PTS_mannitol_transporter_subunit_IICB|record=57,blaKPC,blaKPC_riskaware_top4,GCF_000597965.1,data_cas_offinder/expanded_panel/genomes/GCF_000597965.1_genomic.fna,NZ_CP007454.1,1708813,1710351,-,1539,,PTS mannitol transporter subunit IICB,False,DB_refined_mobile_or_plasmid_related
blaKPC|blaKPC_riskaware_top4|GCF_000599625.1|NZ_CP007390.1:3523343-3524929:+|gene=prpR|product=propionate_catabolism_operon_regulatory_protein_PrpR|record=58,blaKPC,blaKPC_riskaware_top4,GCF_000599625.1,data_cas_offinder/expanded_panel/genomes/GCF_000599625.1_genomic.fna,NZ_CP007390.1,3523343,3524929,+,1587,prpR,propionate catabolism operon regulatory protein PrpR,True,DB_refined_AMR_or_resistance_related
blaKPC|blaKPC_riskaware_top4|GCF_000599645.1|NZ_CP007391.1:3622464-3624050:+|gene=prpR|product=propionate_catabolism_operon_regulatory_protein_PrpR|record=59,blaKPC,blaKPC_riskaware_top4,GCF_000599645.1,data_cas_offinder/expanded_panel/genomes/GCF_000599645.1_genomic.fna,NZ_CP007391.1,3622464,3624050,+,1587,prpR,propionate catabolism operon regulatory protein PrpR,True,DB_refined_AMR_or_resistance_related
blaKPC|blaKPC_riskaware_top4|GCF_000599665.1|NZ_CP007392.1:875565-878348:-|gene=tssH|product=type_VI_secretion_system_ATPase_TssH|record=60,blaKPC,blaKPC_riskaware_top4,GCF_000599665.1,data_cas_offinder/expanded_panel/genomes/GCF_000599665.1_genomic.fna,NZ_CP007392.1,875565,878348,-,2784,tssH,type VI secretion system ATPase TssH,True,DB_refined_AMR_or_resistance_related
blaKPC|blaKPC_riskaware_top4|GCF_000599685.1|NZ_CP007393.1:883106-885889:-|gene=tssH|product=type_VI_secretion_system_ATPase_TssH|record=61,blaKPC,blaKPC_riskaware_top4,GCF_000599685.1,data_cas_offinder/expanded_panel/genomes/GCF_000599685.1_genomic.fna,NZ_CP007393.1,883106,885889,-,2784,tssH,type VI secretion system ATPase TssH,True,DB_refined_AMR_or_resistance_related
blaKPC|blaKPC_riskaware_top4|GCF_000599705.1|NZ_CP007394.1:884078-886861:-|gene=tssH|product=type_VI_secretion_system_ATPase_TssH|record=62,blaKPC,blaKPC_riskaware_top4,GCF_000599705.1,data_cas_offinder/expanded_panel/genomes/GCF_000599705.1_genomic.fna,NZ_CP007394.1,884078,886861,-,2784,tssH,type VI secretion system ATPase TssH,True,DB_refined_AMR_or_resistance_related
blaKPC|blaKPC_riskaware_top4|GCF_000626615.2|NZ_CP007539.2:174168-175706:-|gene=nan|product=PTS_mannitol_transporter_subunit_IICB|record=63,blaKPC,blaKPC_riskaware_top4,GCF_000626615.2,data_cas_offinder/expanded_panel/genomes/GCF_000626615.2_genomic.fna,NZ_CP007539.2,174168,175706,-,1539,,PTS mannitol transporter subunit IICB,False,DB_refined_mobile_or_plasmid_related
blaKPC|blaKPC_riskaware_top4|GCF_000695215.1|NZ_CP007659.1:2248173-2249711:+|gene=nan|product=PTS_mannitol_transporter_subunit_IIBC|record=64,blaKPC,blaKPC_riskaware_top4,GCF_000695215.1,data_cas_offinder/expanded_panel/genomes/GCF_000695215.1_genomic.fna,NZ_CP007659.1,2248173,2249711,+,1539,,PTS mannitol transporter subunit IIBC,False,DB_refined_mobile_or_plasmid_related
blaKPC|blaKPC_riskaware_top4|GCF_000695875.1|NZ_CP007690.1:2273074-2274612:+|gene=nan|product=PTS_mannitol_transporter_subunit_IIBC|record=65,blaKPC,blaKPC_riskaware_top4,GCF_000695875.1,data_cas_offinder/expanded_panel/genomes/GCF_000695875.1_genomic.fna,NZ_CP007690.1,2273074,2274612,+,1539,,PTS mannitol transporter subunit IIBC,False,DB_refined_mobile_or_plasmid_related
