target_gene,panel_category,organism_or_element,accession,assembly_name,assembly_level,source_database,strain_name,target_gene_confirmed,plasmid_or_element_type,include_in_final_panel,reason_for_inclusion,notes
mecA,complete_chromosome,Staphylococcus aureus MRSA,GCA_000013465.1,Staphylococcus aureus subsp. aureus USA300_FPR3757,Complete Genome,NCBI,USA300_FPR3757,Yes,SCCmec/MRSA chromosome,Yes,Tested NCBI download and FASTA-GFF compatibility passed,Used as validated workflow test accession
mecA,complete_chromosome,Staphylococcus aureus MRSA,GCF_000815125.1,ASM81512v1,Complete Genome,SOURCE_DATABASE_REFSEQ,ATCC BAA1680,Needs confirmation,SCCmec/MRSA chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=mecA,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
mecA,complete_chromosome,Staphylococcus aureus MRSA,GCF_000815165.1,ASM81516v1,Complete Genome,SOURCE_DATABASE_REFSEQ,ATCC BAA1680,Needs confirmation,SCCmec/MRSA chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=mecA,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
mecA,complete_chromosome,Staphylococcus aureus MRSA,GCF_000815205.1,ASM81520v1,Complete Genome,SOURCE_DATABASE_REFSEQ,ATCC BAA1680,Needs confirmation,SCCmec/MRSA chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=mecA,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
blaKPC,complete_chromosome,Klebsiella pneumoniae,GCF_000364385.3,ASM36438v3,Complete Genome,SOURCE_DATABASE_REFSEQ,ATCC BAA-2146,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=KPC,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
blaKPC,complete_chromosome,Klebsiella pneumoniae,GCF_000739495.1,ASM73949v1,Complete Genome,SOURCE_DATABASE_REFSEQ,carbapenem-resistant blaNDM-1,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=KPC,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
blaKPC,complete_chromosome,Klebsiella pneumoniae,GCF_000764615.1,ASM76461v1,Complete Genome,SOURCE_DATABASE_REFSEQ,PMK1,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=KPC,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
blaKPC,complete_chromosome,Klebsiella pneumoniae,GCF_000775955.1,ASM77595v1,Complete Genome,SOURCE_DATABASE_REFSEQ,XH209,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=KPC,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
blaKPC,complete_chromosome,Klebsiella pneumoniae,GCF_000807395.2,ASM80739v3,Complete Genome,SOURCE_DATABASE_REFSEQ,32192,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=KPC,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
blaKPC,complete_chromosome,Klebsiella pneumoniae,GCF_000814305.1,ASM81430v1,Complete Genome,SOURCE_DATABASE_REFSEQ,34618,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=KPC,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
blaKPC,complete_chromosome,Klebsiella pneumoniae,GCF_000968155.1,ASM96815v1,Complete Genome,SOURCE_DATABASE_REFSEQ,Kp52.145,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=KPC,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
blaKPC,complete_chromosome,Klebsiella pneumoniae,GCF_001022035.1,ASM102203v1,Complete Genome,SOURCE_DATABASE_REFSEQ,CAV1392,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=KPC,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
blaKPC,complete_chromosome,Klebsiella pneumoniae,GCF_001022175.1,ASM102217v1,Complete Genome,SOURCE_DATABASE_REFSEQ,CAV1344,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=KPC,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
blaKPC,complete_chromosome,Klebsiella pneumoniae,GCF_001022235.1,ASM102223v1,Complete Genome,SOURCE_DATABASE_REFSEQ,CAV1596,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=KPC,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
blaNDM1,complete_chromosome,Klebsiella pneumoniae,GCF_000364385.3,ASM36438v3,Complete Genome,SOURCE_DATABASE_REFSEQ,ATCC BAA-2146,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=NDM,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
blaNDM1,complete_chromosome,Klebsiella pneumoniae,GCF_000739495.1,ASM73949v1,Complete Genome,SOURCE_DATABASE_REFSEQ,carbapenem-resistant blaNDM-1,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=NDM,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
blaNDM1,complete_chromosome,Klebsiella pneumoniae,GCF_000764615.1,ASM76461v1,Complete Genome,SOURCE_DATABASE_REFSEQ,PMK1,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=NDM,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
blaNDM1,complete_chromosome,Klebsiella pneumoniae,GCF_000775955.1,ASM77595v1,Complete Genome,SOURCE_DATABASE_REFSEQ,XH209,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=NDM,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
blaNDM1,complete_chromosome,Klebsiella pneumoniae,GCF_000807395.2,ASM80739v3,Complete Genome,SOURCE_DATABASE_REFSEQ,32192,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=NDM,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
blaNDM1,complete_chromosome,Klebsiella pneumoniae,GCF_000814305.1,ASM81430v1,Complete Genome,SOURCE_DATABASE_REFSEQ,34618,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=NDM,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
blaNDM1,complete_chromosome,Klebsiella pneumoniae,GCF_000968155.1,ASM96815v1,Complete Genome,SOURCE_DATABASE_REFSEQ,Kp52.145,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=NDM,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
blaNDM1,complete_chromosome,Klebsiella pneumoniae,GCF_001022035.1,ASM102203v1,Complete Genome,SOURCE_DATABASE_REFSEQ,CAV1392,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=NDM,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
blaNDM1,complete_chromosome,Escherichia coli,GCF_000597845.1,ASM59784v1,Complete Genome,SOURCE_DATABASE_REFSEQ,ST540,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=NDM,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
blaNDM1,complete_chromosome,Escherichia coli,GCF_000599625.1,ASM59962v1,Complete Genome,SOURCE_DATABASE_REFSEQ,ST540,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=NDM,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
blaNDM1,complete_chromosome,Escherichia coli,GCF_000599645.1,ASM59964v1,Complete Genome,SOURCE_DATABASE_REFSEQ,ST540,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=NDM,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
blaNDM1,complete_chromosome,Escherichia coli,GCF_000599665.1,ASM59966v1,Complete Genome,SOURCE_DATABASE_REFSEQ,ST2747,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=NDM,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
blaNDM1,complete_chromosome,Escherichia coli,GCF_000599685.1,ASM59968v1,Complete Genome,SOURCE_DATABASE_REFSEQ,ST2747,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=NDM,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
blaNDM1,complete_chromosome,Escherichia coli,GCF_000599705.1,ASM59970v1,Complete Genome,SOURCE_DATABASE_REFSEQ,ST2747,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=NDM,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
blaNDM1,complete_chromosome,Escherichia coli,GCF_000784925.1,ASM78492v1,Complete Genome,SOURCE_DATABASE_REFSEQ,ECONIH1,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=NDM,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
blaNDM1,complete_chromosome,Escherichia coli,GCF_000801165.1,ASM80116v1,Complete Genome,SOURCE_DATABASE_REFSEQ,RM9387,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=NDM,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
mcr1,complete_chromosome,Escherichia coli,GCF_000597845.1,ASM59784v1,Complete Genome,SOURCE_DATABASE_REFSEQ,ST540,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=mcr,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
mcr1,complete_chromosome,Escherichia coli,GCF_000599625.1,ASM59962v1,Complete Genome,SOURCE_DATABASE_REFSEQ,ST540,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=mcr,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
mcr1,complete_chromosome,Escherichia coli,GCF_000599645.1,ASM59964v1,Complete Genome,SOURCE_DATABASE_REFSEQ,ST540,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=mcr,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
mcr1,complete_chromosome,Escherichia coli,GCF_000599665.1,ASM59966v1,Complete Genome,SOURCE_DATABASE_REFSEQ,ST2747,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=mcr,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
mcr1,complete_chromosome,Escherichia coli,GCF_000599685.1,ASM59968v1,Complete Genome,SOURCE_DATABASE_REFSEQ,ST2747,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=mcr,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
mcr1,complete_chromosome,Escherichia coli,GCF_000599705.1,ASM59970v1,Complete Genome,SOURCE_DATABASE_REFSEQ,ST2747,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=mcr,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
mcr1,complete_chromosome,Escherichia coli,GCF_000784925.1,ASM78492v1,Complete Genome,SOURCE_DATABASE_REFSEQ,ECONIH1,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=mcr,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
mcr1,complete_chromosome,Escherichia coli,GCF_000801165.1,ASM80116v1,Complete Genome,SOURCE_DATABASE_REFSEQ,RM9387,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=mcr,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
mcr1,complete_chromosome,Escherichia coli,GCF_000801185.2,ASM80118v2,Complete Genome,SOURCE_DATABASE_REFSEQ,94-3024,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=mcr,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
mcr1,complete_chromosome,Escherichia coli,GCF_000814145.2,ASM81414v2,Complete Genome,SOURCE_DATABASE_REFSEQ,6409,Needs confirmation,chromosome,Candidate,Candidate complete genome from NCBI Datasets search; target hint=mcr,Target gene presence must be confirmed by AMRFinder/BLAST/annotation before final claim
