weight_scheme,gene,guide_count,mean_final_score,best_final_score,mean_conservation,best_conservation,excellent_count,good_count,moderate_count,poor_count
10/30/60,blaKPC,34,93.42,98.2,100.0,100.0,27,7,0,0
10/30/60,blaNDM1,46,97.72,98.4,100.0,100.0,46,0,0,0
10/30/60,mcr1,42,96.79,98.2,99.08,100.0,40,2,0,0
10/30/60,mecA,23,97.85,98.0,100.0,100.0,23,0,0,0
10/40/50,blaKPC,34,91.98,98.2,100.0,100.0,27,7,0,0
10/40/50,blaNDM1,46,97.72,98.4,100.0,100.0,46,0,0,0
10/40/50,mcr1,42,96.73,98.2,99.08,100.0,41,1,0,0
10/40/50,mecA,23,97.85,98.0,100.0,100.0,23,0,0,0
10/50/40,blaKPC,34,90.54,98.2,100.0,100.0,26,1,7,0
10/50/40,blaNDM1,46,97.72,98.4,100.0,100.0,46,0,0,0
10/50/40,mcr1,42,96.67,98.2,99.08,100.0,41,0,1,0
10/50/40,mecA,23,97.85,98.0,100.0,100.0,23,0,0,0
10/60/30,blaKPC,34,89.1,98.2,100.0,100.0,26,1,7,0
10/60/30,blaNDM1,46,97.72,98.4,100.0,100.0,46,0,0,0
10/60/30,mcr1,42,96.61,98.2,99.08,100.0,41,0,1,0
10/60/30,mecA,23,97.85,98.0,100.0,100.0,23,0,0,0
10/70/20,blaKPC,34,87.66,98.2,100.0,100.0,26,1,7,0
10/70/20,blaNDM1,46,97.72,98.4,100.0,100.0,46,0,0,0
10/70/20,mcr1,42,96.56,98.2,99.08,100.0,41,0,1,0
10/70/20,mecA,23,97.85,98.0,100.0,100.0,23,0,0,0
10/80/10,blaKPC,34,86.21,98.2,100.0,100.0,26,1,0,7
10/80/10,blaNDM1,46,97.72,98.4,100.0,100.0,46,0,0,0
10/80/10,mcr1,42,96.5,98.2,99.08,100.0,41,0,0,1
10/80/10,mecA,23,97.85,98.0,100.0,100.0,23,0,0,0
10/90/0,blaKPC,34,84.77,98.2,100.0,100.0,25,1,1,7
10/90/0,blaNDM1,46,97.72,98.4,100.0,100.0,46,0,0,0
10/90/0,mcr1,42,96.44,98.2,99.08,100.0,41,0,0,1
10/90/0,mecA,23,97.85,98.0,100.0,100.0,23,0,0,0
100/0/0,blaKPC,34,77.5,82.0,100.0,100.0,0,34,0,0
100/0/0,blaNDM1,46,77.22,84.0,100.0,100.0,0,42,4,0
100/0/0,mcr1,42,77.95,82.0,99.08,100.0,0,42,0,0
100/0/0,mecA,23,78.52,80.0,100.0,100.0,0,23,0,0
20/0/80,blaKPC,34,95.5,96.4,100.0,100.0,34,0,0,0
20/0/80,blaNDM1,46,95.44,96.8,100.0,100.0,46,0,0,0
20/0/80,mcr1,42,94.85,96.4,99.08,100.0,40,2,0,0
20/0/80,mecA,23,95.7,96.0,100.0,100.0,23,0,0,0
20/10/70,blaKPC,34,94.06,96.4,100.0,100.0,34,0,0,0
20/10/70,blaNDM1,46,95.44,96.8,100.0,100.0,46,0,0,0
20/10/70,mcr1,42,94.8,96.4,99.08,100.0,40,2,0,0
20/10/70,mecA,23,95.7,96.0,100.0,100.0,23,0,0,0
20/20/60,blaKPC,34,92.62,96.4,100.0,100.0,27,7,0,0
20/20/60,blaNDM1,46,95.44,96.8,100.0,100.0,46,0,0,0
20/20/60,mcr1,42,94.74,96.4,99.08,100.0,40,2,0,0
20/20/60,mecA,23,95.7,96.0,100.0,100.0,23,0,0,0
20/30/50,blaKPC,34,91.17,96.4,100.0,100.0,27,7,0,0
20/30/50,blaNDM1,46,95.44,96.8,100.0,100.0,46,0,0,0
20/30/50,mcr1,42,94.68,96.4,99.08,100.0,40,2,0,0
20/30/50,mecA,23,95.7,96.0,100.0,100.0,23,0,0,0
20/40/40,blaKPC,34,89.73,96.4,100.0,100.0,26,4,4,0
20/40/40,blaNDM1,46,95.44,96.8,100.0,100.0,46,0,0,0
20/40/40,mcr1,42,94.62,96.4,99.08,100.0,41,1,0,0
20/40/40,mecA,23,95.7,96.0,100.0,100.0,23,0,0,0
20/50/30,blaKPC,34,88.29,96.4,100.0,100.0,26,1,7,0
20/50/30,blaNDM1,46,95.44,96.8,100.0,100.0,46,0,0,0
20/50/30,mcr1,42,94.56,96.4,99.08,100.0,41,0,1,0
20/50/30,mecA,23,95.7,96.0,100.0,100.0,23,0,0,0
20/60/20,blaKPC,34,86.85,96.4,100.0,100.0,26,1,7,0
20/60/20,blaNDM1,46,95.44,96.8,100.0,100.0,46,0,0,0
20/60/20,mcr1,42,94.5,96.4,99.08,100.0,41,0,1,0
20/60/20,mecA,23,95.7,96.0,100.0,100.0,23,0,0,0
20/70/10,blaKPC,34,85.41,96.4,100.0,100.0,26,1,5,2
20/70/10,blaNDM1,46,95.44,96.8,100.0,100.0,46,0,0,0
20/70/10,mcr1,42,94.45,96.4,99.08,100.0,41,0,1,0
20/70/10,mecA,23,95.7,96.0,100.0,100.0,23,0,0,0
20/80/0,blaKPC,34,83.96,96.4,100.0,100.0,25,2,0,7
20/80/0,blaNDM1,46,95.44,96.8,100.0,100.0,46,0,0,0
20/80/0,mcr1,42,94.39,96.4,99.08,100.0,41,0,0,1
20/80/0,mecA,23,95.7,96.0,100.0,100.0,23,0,0,0
30/0/70,blaKPC,34,93.25,94.6,100.0,100.0,34,0,0,0
30/0/70,blaNDM1,46,93.17,95.2,100.0,100.0,46,0,0,0
30/0/70,mcr1,42,92.74,94.6,99.08,100.0,40,2,0,0
30/0/70,mecA,23,93.56,94.0,100.0,100.0,23,0,0,0
30/10/60,blaKPC,34,91.81,94.6,100.0,100.0,32,2,0,0
30/10/60,blaNDM1,46,93.17,95.2,100.0,100.0,46,0,0,0
30/10/60,mcr1,42,92.68,94.6,99.08,100.0,40,2,0,0
30/10/60,mecA,23,93.56,94.0,100.0,100.0,23,0,0,0
30/20/50,blaKPC,34,90.37,94.6,100.0,100.0,27,7,0,0
30/20/50,blaNDM1,46,93.17,95.2,100.0,100.0,46,0,0,0
30/20/50,mcr1,42,92.62,94.6,99.08,100.0,40,2,0,0
30/20/50,mecA,23,93.56,94.0,100.0,100.0,23,0,0,0
30/30/40,blaKPC,34,88.92,94.6,100.0,100.0,26,8,0,0
30/30/40,blaNDM1,46,93.17,95.2,100.0,100.0,46,0,0,0
30/30/40,mcr1,42,92.56,94.6,99.08,100.0,40,2,0,0
30/30/40,mecA,23,93.56,94.0,100.0,100.0,23,0,0,0
30/40/30,blaKPC,34,87.48,94.6,100.0,100.0,26,1,7,0
30/40/30,blaNDM1,46,93.17,95.2,100.0,100.0,46,0,0,0
30/40/30,mcr1,42,92.5,94.6,99.08,100.0,41,0,1,0
30/40/30,mecA,23,93.56,94.0,100.0,100.0,23,0,0,0
30/50/20,blaKPC,34,86.04,94.6,100.0,100.0,26,1,7,0
30/50/20,blaNDM1,46,93.17,95.2,100.0,100.0,46,0,0,0
30/50/20,mcr1,42,92.45,94.6,99.08,100.0,41,0,1,0
30/50/20,mecA,23,93.56,94.0,100.0,100.0,23,0,0,0
30/60/10,blaKPC,34,84.6,94.6,100.0,100.0,25,2,7,0
30/60/10,blaNDM1,46,93.17,95.2,100.0,100.0,46,0,0,0
30/60/10,mcr1,42,92.39,94.6,99.08,100.0,41,0,1,0
30/60/10,mecA,23,93.56,94.0,100.0,100.0,23,0,0,0
30/70/0,blaKPC,34,83.16,94.6,100.0,100.0,25,2,0,7
30/70/0,blaNDM1,46,93.17,95.2,100.0,100.0,46,0,0,0
30/70/0,mcr1,42,92.33,94.6,99.08,100.0,41,0,1,0
30/70/0,mecA,23,93.56,94.0,100.0,100.0,23,0,0,0
40/0/60,blaKPC,34,91.0,92.8,100.0,100.0,34,0,0,0
40/0/60,blaNDM1,46,90.89,93.6,100.0,100.0,42,4,0,0
40/0/60,mcr1,42,90.63,92.8,99.08,100.0,40,2,0,0
40/0/60,mecA,23,91.41,92.0,100.0,100.0,23,0,0,0
40/10/50,blaKPC,34,89.56,92.8,100.0,100.0,29,5,0,0
40/10/50,blaNDM1,46,90.89,93.6,100.0,100.0,42,4,0,0
40/10/50,mcr1,42,90.57,92.8,99.08,100.0,40,2,0,0
40/10/50,mecA,23,91.41,92.0,100.0,100.0,23,0,0,0
40/20/40,blaKPC,34,88.12,92.8,100.0,100.0,27,7,0,0
40/20/40,blaNDM1,46,90.89,93.6,100.0,100.0,42,4,0,0
40/20/40,mcr1,42,90.51,92.8,99.08,100.0,40,2,0,0
40/20/40,mecA,23,91.41,92.0,100.0,100.0,23,0,0,0
40/30/30,blaKPC,34,86.67,92.8,100.0,100.0,26,6,2,0
40/30/30,blaNDM1,46,90.89,93.6,100.0,100.0,42,4,0,0
40/30/30,mcr1,42,90.45,92.8,99.08,100.0,40,2,0,0
40/30/30,mecA,23,91.41,92.0,100.0,100.0,23,0,0,0
40/40/20,blaKPC,34,85.23,92.8,100.0,100.0,26,1,7,0
40/40/20,blaNDM1,46,90.89,93.6,100.0,100.0,42,4,0,0
40/40/20,mcr1,42,90.39,92.8,99.08,100.0,41,0,1,0
40/40/20,mecA,23,91.41,92.0,100.0,100.0,23,0,0,0
40/50/10,blaKPC,34,83.79,92.8,100.0,100.0,25,2,7,0
40/50/10,blaNDM1,46,90.89,93.6,100.0,100.0,42,4,0,0
40/50/10,mcr1,42,90.34,92.8,99.08,100.0,41,0,1,0
40/50/10,mecA,23,91.41,92.0,100.0,100.0,23,0,0,0
40/60/0,blaKPC,34,82.35,92.8,100.0,100.0,25,2,7,0
40/60/0,blaNDM1,46,90.89,93.6,100.0,100.0,42,4,0,0
40/60/0,mcr1,42,90.28,92.8,99.08,100.0,41,0,1,0
40/60/0,mecA,23,91.41,92.0,100.0,100.0,23,0,0,0
50/0/50,blaKPC,34,88.75,91.0,100.0,100.0,34,0,0,0
50/0/50,blaNDM1,46,88.61,92.0,100.0,100.0,42,4,0,0
50/0/50,mcr1,42,88.51,91.0,99.08,100.0,40,2,0,0
50/0/50,mecA,23,89.26,90.0,100.0,100.0,23,0,0,0
50/10/40,blaKPC,34,87.31,91.0,100.0,100.0,27,7,0,0
50/10/40,blaNDM1,46,88.61,92.0,100.0,100.0,42,4,0,0
50/10/40,mcr1,42,88.45,91.0,99.08,100.0,39,3,0,0
50/10/40,mecA,23,89.26,90.0,100.0,100.0,23,0,0,0
50/20/30,blaKPC,34,85.87,91.0,100.0,100.0,26,8,0,0
50/20/30,blaNDM1,46,88.61,92.0,100.0,100.0,42,4,0,0
50/20/30,mcr1,42,88.4,91.0,99.08,100.0,39,3,0,0
50/20/30,mecA,23,89.26,90.0,100.0,100.0,23,0,0,0
50/30/20,blaKPC,34,84.42,91.0,100.0,100.0,25,5,4,0
50/30/20,blaNDM1,46,88.61,92.0,100.0,100.0,42,4,0,0
50/30/20,mcr1,42,88.34,91.0,99.08,100.0,40,2,0,0
50/30/20,mecA,23,89.26,90.0,100.0,100.0,23,0,0,0
50/40/10,blaKPC,34,82.98,91.0,100.0,100.0,25,2,7,0
50/40/10,blaNDM1,46,88.61,92.0,100.0,100.0,42,4,0,0
50/40/10,mcr1,42,88.28,91.0,99.08,100.0,41,0,1,0
50/40/10,mecA,23,89.26,90.0,100.0,100.0,23,0,0,0
50/50/0,blaKPC,34,81.54,91.0,100.0,100.0,25,2,7,0
50/50/0,blaNDM1,46,88.61,92.0,100.0,100.0,42,4,0,0
50/50/0,mcr1,42,88.22,91.0,99.08,100.0,41,0,1,0
50/50/0,mecA,23,89.26,90.0,100.0,100.0,23,0,0,0
60/0/40,blaKPC,34,86.5,89.2,100.0,100.0,26,8,0,0
60/0/40,blaNDM1,46,86.33,90.4,100.0,100.0,42,4,0,0
60/0/40,mcr1,42,86.4,89.2,99.08,100.0,35,7,0,0
60/0/40,mecA,23,87.11,88.0,100.0,100.0,22,1,0,0
60/10/30,blaKPC,34,85.06,89.2,100.0,100.0,23,11,0,0
60/10/30,blaNDM1,46,86.33,90.4,100.0,100.0,42,4,0,0
60/10/30,mcr1,42,86.34,89.2,99.08,100.0,34,8,0,0
60/10/30,mecA,23,87.11,88.0,100.0,100.0,22,1,0,0
60/20/20,blaKPC,34,83.62,89.2,100.0,100.0,21,11,2,0
60/20/20,blaNDM1,46,86.33,90.4,100.0,100.0,42,4,0,0
60/20/20,mcr1,42,86.29,89.2,99.08,100.0,34,8,0,0
60/20/20,mecA,23,87.11,88.0,100.0,100.0,22,1,0,0
60/30/10,blaKPC,34,82.17,89.2,100.0,100.0,21,6,7,0
60/30/10,blaNDM1,46,86.33,90.4,100.0,100.0,42,4,0,0
60/30/10,mcr1,42,86.23,89.2,99.08,100.0,35,7,0,0
60/30/10,mecA,23,87.11,88.0,100.0,100.0,22,1,0,0
60/40/0,blaKPC,34,80.73,89.2,100.0,100.0,21,6,7,0
60/40/0,blaNDM1,46,86.33,90.4,100.0,100.0,42,4,0,0
60/40/0,mcr1,42,86.17,89.2,99.08,100.0,36,5,1,0
60/40/0,mecA,23,87.11,88.0,100.0,100.0,22,1,0,0
70/0/30,blaKPC,34,84.25,87.4,100.0,100.0,15,19,0,0
70/0/30,blaNDM1,46,84.05,88.8,100.0,100.0,22,24,0,0
70/0/30,mcr1,42,84.29,87.4,99.08,100.0,16,26,0,0
70/0/30,mecA,23,84.97,86.0,100.0,100.0,11,12,0,0
70/10/20,blaKPC,34,82.81,87.4,100.0,100.0,12,22,0,0
70/10/20,blaNDM1,46,84.05,88.8,100.0,100.0,22,24,0,0
70/10/20,mcr1,42,84.23,87.4,99.08,100.0,15,27,0,0
70/10/20,mecA,23,84.97,86.0,100.0,100.0,11,12,0,0
70/20/10,blaKPC,34,81.37,87.4,100.0,100.0,12,18,4,0
70/20/10,blaNDM1,46,84.05,88.8,100.0,100.0,22,24,0,0
70/20/10,mcr1,42,84.17,87.4,99.08,100.0,15,27,0,0
70/20/10,mecA,23,84.97,86.0,100.0,100.0,11,12,0,0
70/30/0,blaKPC,34,79.92,87.4,100.0,100.0,12,15,7,0
70/30/0,blaNDM1,46,84.05,88.8,100.0,100.0,22,24,0,0
70/30/0,mcr1,42,84.11,87.4,99.08,100.0,16,25,1,0
70/30/0,mecA,23,84.97,86.0,100.0,100.0,11,12,0,0
80/0/20,blaKPC,34,82.0,85.6,100.0,100.0,9,25,0,0
80/0/20,blaNDM1,46,81.77,87.2,100.0,100.0,12,30,4,0
80/0/20,mcr1,42,82.18,85.6,99.08,100.0,3,39,0,0
80/0/20,mecA,23,82.82,84.0,100.0,100.0,0,23,0,0
80/10/10,blaKPC,34,80.56,85.6,100.0,100.0,8,24,2,0
80/10/10,blaNDM1,46,81.77,87.2,100.0,100.0,12,30,4,0
80/10/10,mcr1,42,82.12,85.6,99.08,100.0,2,40,0,0
80/10/10,mecA,23,82.82,84.0,100.0,100.0,0,23,0,0
80/20/0,blaKPC,34,79.12,85.6,100.0,100.0,8,21,5,0
80/20/0,blaNDM1,46,81.77,87.2,100.0,100.0,12,30,4,0
80/20/0,mcr1,42,82.06,85.6,99.08,100.0,2,40,0,0
80/20/0,mecA,23,82.82,84.0,100.0,100.0,0,23,0,0
90/0/10,blaKPC,34,79.75,83.8,100.0,100.0,0,34,0,0
90/0/10,blaNDM1,46,79.5,85.6,100.0,100.0,2,40,4,0
90/0/10,mcr1,42,80.06,83.8,99.08,100.0,0,42,0,0
90/0/10,mecA,23,80.67,82.0,100.0,100.0,0,23,0,0
90/10/0,blaKPC,34,78.31,83.8,100.0,100.0,0,32,2,0
90/10/0,blaNDM1,46,79.5,85.6,100.0,100.0,2,40,4,0
90/10/0,mcr1,42,80.01,83.8,99.08,100.0,0,42,0,0
90/10/0,mecA,23,80.67,82.0,100.0,100.0,0,23,0,0
